0	3	1	2012-07-03 11:00:00	2
1	4	1	2012-07-03 08:00:00	2
2	6	0	2012-07-03 18:00:00	2
3	7	1	2012-07-03 19:00:00	2
4	8	1	2012-07-03 10:00:00	1
5	8	1	2012-07-03 15:00:00	1
6	0	2	2012-07-04 09:00:00	3
7	0	2	2012-07-04 15:00:00	3
8	4	3	2012-07-04 13:30:00	2
9	4	0	2012-07-04 15:00:00	2
10	4	0	2012-07-04 17:30:00	2
11	6	0	2012-07-04 12:30:00	2
12	6	0	2012-07-04 14:00:00	2
13	6	1	2012-07-04 15:30:00	2
14	7	2	2012-07-04 14:00:00	2
15	8	2	2012-07-04 12:00:00	1
16	8	3	2012-07-04 18:00:00	1
17	1	0	2012-07-05 17:30:00	3
18	2	1	2012-07-05 09:30:00	3
19	3	3	2012-07-05 09:00:00	2
20	3	1	2012-07-05 19:00:00	2
21	4	3	2012-07-05 18:30:00	2
22	6	0	2012-07-05 13:00:00	2
23	6	1	2012-07-05 14:30:00	2
24	7	2	2012-07-05 18:30:00	2
25	8	3	2012-07-05 12:30:00	1
26	0	0	2012-07-06 08:00:00	3
27	0	0	2012-07-06 14:00:00	3
28	0	2	2012-07-06 15:30:00	3
29	2	1	2012-07-06 17:00:00	3
30	3	1	2012-07-06 11:00:00	2
31	4	3	2012-07-06 12:00:00	2
32	6	1	2012-07-06 14:00:00	2
33	7	2	2012-07-06 08:30:00	2
34	7	2	2012-07-06 13:30:00	2
35	8	3	2012-07-06 15:30:00	1
36	0	2	2012-07-07 08:30:00	3
37	0	0	2012-07-07 12:30:00	3
38	0	2	2012-07-07 14:30:00	3
39	1	3	2012-07-07 08:30:00	3
40	2	1	2012-07-07 09:00:00	3
41	2	1	2012-07-07 11:30:00	3
42	2	1	2012-07-07 16:00:00	3
43	3	2	2012-07-07 12:30:00	2
44	4	3	2012-07-07 11:30:00	2
45	4	3	2012-07-07 14:00:00	2
46	4	0	2012-07-07 17:30:00	2
47	6	0	2012-07-07 08:30:00	2
48	6	1	2012-07-07 10:30:00	2
49	6	1	2012-07-07 14:30:00	2
50	6	0	2012-07-07 16:00:00	2
51	7	2	2012-07-07 11:30:00	2
52	8	3	2012-07-07 16:00:00	1
53	8	3	2012-07-07 17:30:00	2
54	0	3	2012-07-08 13:00:00	3
55	0	2	2012-07-08 17:30:00	3
56	1	1	2012-07-08 15:00:00	3
57	1	1	2012-07-08 17:30:00	3
58	3	1	2012-07-08 11:30:00	2
59	3	3	2012-07-08 18:30:00	2
60	3	1	2012-07-08 19:30:00	2
61	4	0	2012-07-08 11:00:00	2
62	4	2	2012-07-08 16:30:00	2
